Task,Metric,Paper Full ChangeVG,Reproduce,FFT
Binary,Accuracy,0.9460,0.8580,0.9331
,Precision,0.9549,0.8024,0.9067
,Recall,0.9401,0.9538,0.9672
,F1,0.9474,0.8716,0.9360
Counting,Road MAE,0.1560,1.4344,0.3852
,Build MAE,0.8020,1.5500,0.6962
Loc-Road,Example Acc,0.7865,0.8082,0.9268
,Micro P,0.7850,0.7166,0.8909
,Micro R,0.7595,0.9502,0.9675
,Micro F1,0.7720,0.8170,0.9276
,Subset Acc,0.7330,0.7315,0.8849
Loc-Build,Example Acc,0.8813,0.8238,0.9052
,Micro P,0.9068,0.8313,0.9244
,Micro R,0.9208,0.9394,0.9546
,Micro F1,0.9137,0.8820,0.9393
,Subset Acc,0.7220,0.7361,0.8574
Caption*,BLEU-4,65.08,62.79,65.69
,METEOR,42.06,38.82,40.87
,ROUGE-L,76.95,72.89,75.55
,CIDEr,142.83,130.28,137.85
